Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
1987,11,23,1,1340,1335,1604,1613,DL,87,NA,144,158,NA,-9,5,EWR,FLL,1065
1987,11,24,2,1335,1335,1602,1613,DL,87,NA,147,158,NA,-11,0,EWR,FLL,1065
1987,11,25,3,1335,1335,1604,1613,DL,87,NA,149,158,NA,-9,0,EWR,FLL,1065
1987,11,26,4,1335,1335,1605,1613,DL,87,NA,150,158,NA,-8,0,EWR,FLL,1065
1987,11,27,5,1335,1335,1612,1613,DL,87,NA,157,158,NA,-1,0,EWR,FLL,1065
1987,11,28,6,1359,1335,1633,1613,DL,87,NA,154,158,NA,20,24,EWR,FLL,1065
1987,11,29,7,1335,1335,1612,1613,DL,87,NA,157,158,NA,-1,0,EWR,FLL,1065
1987,11,30,1,1345,1335,1617,1613,DL,87,NA,152,158,NA,4,10,EWR,FLL,1065
1987,11,2,1,818,806,1121,1059,DL,88,NA,123,113,NA,22,12,DFW,ATL,732
1987,11,3,2,806,806,1101,1059,DL,88,NA,115,113,NA,2,0,DFW,ATL,732
1987,11,4,3,806,806,1100,1059,DL,88,NA,114,113,NA,1,0,DFW,ATL,732
1987,11,5,4,815,806,1103,1059,DL,88,NA,108,113,NA,4,9,DFW,ATL,732
1987,11,6,5,806,806,1053,1059,DL,88,NA,107,113,NA,-6,0,DFW,ATL,732
1987,11,7,6,814,806,1058,1059,DL,88,NA,104,113,NA,-1,8,DFW,ATL,732
1987,11,8,7,806,806,1050,1059,DL,88,NA,104,113,NA,-9,0,DFW,ATL,732
1987,11,9,1,813,806,1103,1059,DL,88,NA,110,113,NA,4,7,DFW,ATL,732
1987,11,10,2,806,806,1046,1059,DL,88,NA,100,113,NA,-13,0,DFW,ATL,732
1987,11,11,3,806,806,1108,1059,DL,88,NA,122,113,NA,9,0,DFW,ATL,732
1987,11,12,4,811,806,1058,1059,DL,88,NA,107,113,NA,-1,5,DFW,ATL,732
1987,11,13,5,806,806,1057,1059,DL,88,NA,111,113,NA,-2,0,DFW,ATL,732
1987,11,14,6,806,806,1114,1059,DL,88,NA,128,113,NA,15,0,DFW,ATL,732
1987,11,15,7,806,806,1051,1059,DL,88,NA,105,113,NA,-8,0,DFW,ATL,732
1987,11,16,1,826,806,1138,1059,DL,88,NA,132,113,NA,39,20,DFW,ATL,732
1987,11,17,2,819,806,1113,1059,DL,88,NA,114,113,NA,14,13,DFW,ATL,732
1987,11,18,3,806,806,1048,1059,DL,88,NA,102,113,NA,-11,0,DFW,ATL,732
1987,11,19,4,806,806,1056,1059,DL,88,NA,110,113,NA,-3,0,DFW,ATL,732
1987,11,20,5,806,806,1051,1059,DL,88,NA,105,113,NA,-8,0,DFW,ATL,732
1987,11,21,6,806,806,1050,1059,DL,88,NA,104,113,NA,-9,0,DFW,ATL,732
1987,11,22,7,806,806,1050,1059,DL,88,NA,104,113,NA,-9,0,DFW,ATL,732
1987,11,23,1,806,806,1047,1059,DL,88,NA,101,113,NA,-12,0,DFW,ATL,732
1987,11,24,2,806,806,1049,1059,DL,88,NA,103,113,NA,-10,0,DFW,ATL,732
1987,11,25,3,820,806,1113,1059,DL,88,NA,113,113,NA,14,14,DFW,ATL,732
1987,11,26,4,812,806,1056,1059,DL,88,NA,104,113,NA,-3,6,DFW,ATL,732
1987,11,27,5,806,806,1057,1059,DL,88,NA,111,113,NA,-2,0,DFW,ATL,732
1987,11,29,7,806,806,1049,1059,DL,88,NA,103,113,NA,-10,0,DFW,ATL,732
1987,11,30,1,822,806,1102,1059,DL,88,NA,100,113,NA,3,16,DFW,ATL,732
1987,11,1,7,1155,1155,1246,1250,DL,89,NA,171,175,NA,-4,0,DFW,LAX,1235
1987,11,2,1,1155,1155,1302,1250,DL,89,NA,187,175,NA,12,0,DFW,LAX,1235
1987,11,3,2,1204,1155,1302,1250,DL,89,NA,178,175,NA,12,9,DFW,LAX,1235
1987,11,4,3,1200,1155,1314,1250,DL,89,NA,194,175,NA,24,5,DFW,LAX,1235
1987,11,5,4,1258,1155,1413,1250,DL,89,NA,195,175,NA,83,63,DFW,LAX,1235
1987,11,6,5,1155,1155,1320,1250,DL,89,NA,205,175,NA,30,0,DFW,LAX,1235
1987,11,7,6,1155,1155,1320,1250,DL,89,NA,205,175,NA,30,0,DFW,LAX,1235
1987,11,8,7,1155,1155,1249,1250,DL,89,NA,174,175,NA,-1,0,DFW,LAX,1235
1987,11,9,1,1155,1155,1252,1250,DL,89,NA,177,175,NA,2,0,DFW,LAX,1235
1987,11,10,2,1208,1155,1256,1250,DL,89,NA,168,175,NA,6,13,DFW,LAX,1235
1987,11,11,3,1200,1155,1256,1250,DL,89,NA,176,175,NA,6,5,DFW,LAX,1235
1987,11,12,4,1205,1155,1300,1250,DL,89,NA,175,175,NA,10,10,DFW,LAX,1235
1987,11,13,5,1200,1155,1312,1250,DL,89,NA,192,175,NA,22,5,DFW,LAX,1235
1987,11,14,6,1155,1155,1311,1250,DL,89,NA,196,175,NA,21,0,DFW,LAX,1235
1987,11,15,7,1528,1155,1653,1250,DL,89,NA,205,175,NA,243,213,DFW,LAX,1235
1987,11,16,1,1330,1155,1428,1250,DL,89,NA,178,175,NA,98,95,DFW,LAX,1235
